predictand_form,domain,predictor_family,predictor,index,scenario,n_models,n_families,r,permutation_p,LOFO_skill,bootstrap_sign_stability,q_BH,satisfies_all_criteria,predictor_enters_predictand
fractional,national,B,tail concentration R95p/PRCPTOT,rx1day,ssp585,23,13,0.057,0.8412,-0.244,0.662,0.9836,no,yes
fractional,national,B,tail concentration R95p/PRCPTOT,r95p,ssp126,23,13,-0.826,0.03,-0.332,0.724,0.1297,no,yes
fractional,national,B,tail concentration R95p/PRCPTOT,r95p,ssp245,23,13,-0.001,0.9964,-0.128,0.493,0.9964,no,yes
fractional,national,B,tail concentration R95p/PRCPTOT,r95p,ssp370,23,13,-0.816,0.0384,-0.439,0.735,0.1299,no,yes
fractional,national,B,tail concentration R95p/PRCPTOT,r95p,ssp585,23,13,-0.13,0.6165,-0.4,0.646,0.9836,no,yes
fractional,national,B,event duration Rx5day/Rx1day,rx1day,ssp126,23,13,0.504,0.0434,-0.786,0.667,0.134,no,no
fractional,national,B,event duration Rx5day/Rx1day,rx1day,ssp245,23,13,-0.231,0.2905,-0.2,0.929,0.6182,no,no
fractional,national,B,event duration Rx5day/Rx1day,rx1day,ssp370,23,13,0.48,0.0444,-0.792,0.636,0.1347,no,no
fractional,national,B,event duration Rx5day/Rx1day,rx1day,ssp585,23,13,-0.057,0.799,-0.325,0.65,0.9836,no,no
fractional,national,B,event duration Rx5day/Rx1day,r95p,ssp126,23,13,0.603,0.037,-0.584,0.71,0.1297,no,no
fractional,national,B,event duration Rx5day/Rx1day,r95p,ssp245,23,13,-0.254,0.24,-0.156,0.967,0.5482,no,no
fractional,national,B,event duration Rx5day/Rx1day,r95p,ssp370,23,13,0.578,0.041,-0.604,0.635,0.1318,no,no
fractional,national,B,event duration Rx5day/Rx1day,r95p,ssp585,23,13,0.05,0.8212,-0.504,0.578,0.9836,no,no
